fname,id,actions,text,category
Cleaned-EDA_Grid0_3_1_Dirs_1.txt,1516-2,"Any[1,1,1,4]",walk forward three times or until you reach the pink walkway,Conditional
Cleaned-EDA_Grid0_3_1_Dirs_1.txt,1516-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_3_1_Dirs_1.txt,1516-4,"Any[1,4]",walk forward until you rech the red walkway,Conditional
Cleaned-EDA_Grid0_3_1_Dirs_1.txt,1516-5,Any[4],there should be a painting easel there too,Describe
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-1,"Any[2,4]",turn so the wall is on your back,Orient
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_3_2_Dirs_1.txt,1048-6,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_3_4_Dirs_1.txt,942-1,"Any[2,4]",turn so the wall is on your left,Orient
Cleaned-EDA_Grid0_3_4_Dirs_1.txt,942-2,"Any[1,1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Grid0_3_4_Dirs_1.txt,942-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_3_4_Dirs_1.txt,942-4,"Any[1,1,1,4]",walk forward three times or until you are at the intersection of green and yellow,Conditional
Cleaned-EDA_Grid0_3_5_Dirs_1.txt,802-1,"Any[2,4]",turn so the wall is on your right,Orient
Cleaned-EDA_Grid0_3_5_Dirs_1.txt,802-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_3_5_Dirs_1.txt,802-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_3_5_Dirs_1.txt,802-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-1,"Any[2,4]",turn so that the wall is on your left,Orient
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-3,Any[4],you should be at the intersection of blue and brown,Describe
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-4,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-5,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_3_6_Dirs_1.txt,490-6,Any[4],if there is a solid wall on your right then you are at position 6,Describe
Cleaned-EDA_Grid0_3_7_Dirs_1.txt,1082-1,"Any[2,4]",turn so the wall is on your back,Orient
Cleaned-EDA_Grid0_3_7_Dirs_1.txt,1082-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_4_1_Dirs_1.txt,28-1,"Any[2,4]",turn to face the green hallway,TurnToX
Cleaned-EDA_Grid0_4_1_Dirs_1.txt,28-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_4_1_Dirs_1.txt,28-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_4_1_Dirs_1.txt,28-4,Any[4],you should be facing the red hallway,Describe
Cleaned-EDA_Grid0_4_1_Dirs_1.txt,28-5,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_4_2_Dirs_1.txt,1443-1,"Any[2,4]",turn to face the yellow hallway,TurnToX
Cleaned-EDA_Grid0_4_2_Dirs_1.txt,1443-2,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_4_3_Dirs_1.txt,776-1,"Any[2,4]",turn to face the yellow hallway,TurnToX
Cleaned-EDA_Grid0_4_3_Dirs_1.txt,776-2,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_4_3_Dirs_1.txt,776-3,"Any[3,4]",turn onto the blue hallway,TurnToX
Cleaned-EDA_Grid0_4_3_Dirs_1.txt,776-4,"Any[1,1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-1,"Any[2,4]",turn to face the green halllway,TurnToX
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-2,"Any[1,1,1,4]",walk three times forward,Move
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-4,"Any[1,1,1,1,1,1,4]",walk forward six times,Move
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-5,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_4_5_Dirs_1.txt,944-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_4_6_Dirs_1.txt,1280-1,"Any[2,4]",turn to face the yellow hallway,TurnToX
Cleaned-EDA_Grid0_4_6_Dirs_1.txt,1280-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_4_6_Dirs_1.txt,1280-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_4_6_Dirs_1.txt,1280-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_4_7_Dirs_1.txt,568-1,"Any[2,4]",turn to face the green hallway,TurnToX
Cleaned-EDA_Grid0_4_7_Dirs_1.txt,568-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_4_7_Dirs_1.txt,568-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_4_7_Dirs_1.txt,568-4,"Any[1,1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Grid0_5_1_Dirs_1.txt,525-1,"Any[2,4]",turn so the walls are on your right and back,Orient
Cleaned-EDA_Grid0_5_1_Dirs_1.txt,525-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_1_Dirs_1.txt,525-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_1_Dirs_1.txt,525-4,"Any[1,1,1,1,1,4]",walk forward five times,Move
Cleaned-EDA_Grid0_5_1_Dirs_1.txt,525-5,"Any[2,1,4]",turn onto the pink hallway and walk forward once,AnyCombination
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-1,"Any[2,4]",turn so that the wall is on your right and back,Orient
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-4,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-5,"Any[2,4]",turn right to face the black hallway,TurnToX
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-6,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Grid0_5_2_Dirs_1.txt,424-7,Any[4],if you are in the right place you should be at the intersection of black and yellow,Describe
Cleaned-EDA_Grid0_5_3_Dirs_1.txt,292-1,"Any[2,4]",turn so that the walls are on your right and back,Orient
Cleaned-EDA_Grid0_5_3_Dirs_1.txt,292-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_3_Dirs_1.txt,292-3,"Any[2,1,1,4]",turn right and walk forward twice,CombinationLang
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-1,"Any[2,4]",turn so that the wall is on your right and back,Orient
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-4,"Any[1,1,1,1,1,1,4]",walk forward six times,Move
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-5,Any[4],you should be at the end of the hallway,Describe
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-6,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-7,"Any[1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Grid0_5_4_Dirs_1.txt,702-8,Any[4],you should be at the end of the hallway again,Describe
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-1,"Any[2,4]",turn so that the wall is on your right and back,Orient
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-4,"Any[1,1,1,1,4]",walk forward maybe four times and you should be at the intersection of blue and brown,MoveToX
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-6,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_5_6_Dirs_1.txt,1031-7,Any[4],if there is a wall on your right side then you are there,Describe
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-1,"Any[2,4]",turn so the wall is on your right and back,Orient
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_5_7_Dirs_1.txt,114-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_1_Dirs_1.txt,1112-1,"Any[2,4]",turn so that the wall is on your back,Orient
Cleaned-EDA_Grid0_6_1_Dirs_1.txt,1112-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_1_Dirs_1.txt,1112-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_6_1_Dirs_1.txt,1112-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_1_Dirs_1.txt,1112-5,Any[4],if you are at the intersection of red and pink and there is a painting thing you are there,Describe
Cleaned-EDA_Grid0_6_2_Dirs_1.txt,1572-1,"Any[2,4]",turn so the wall is on your right,Orient
Cleaned-EDA_Grid0_6_2_Dirs_1.txt,1572-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_2_Dirs_1.txt,1572-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_6_2_Dirs_1.txt,1572-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_3_Dirs_1.txt,1460-1,"Any[2,4]",turn so that the wall is on your left,Orient
Cleaned-EDA_Grid0_6_3_Dirs_1.txt,1460-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_6_3_Dirs_1.txt,1460-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_6_3_Dirs_1.txt,1460-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_6_4_Dirs_1.txt,1519-1,"Any[2,4]",turn so the wall is on your back,Orient
Cleaned-EDA_Grid0_6_4_Dirs_1.txt,1519-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_6_4_Dirs_1.txt,1519-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_6_4_Dirs_1.txt,1519-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-1,"Any[2,4]",turn so that the wall is on your left,Orient
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-4,"Any[1,1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-5,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_6_5_Dirs_1.txt,1206-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_7_Dirs_1.txt,501-1,"Any[2,4]",turn so the wall is on your left,Orient
Cleaned-EDA_Grid0_6_7_Dirs_1.txt,501-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_6_7_Dirs_1.txt,501-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_6_7_Dirs_1.txt,501-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_7_1_Dirs_1.txt,524-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_7_1_Dirs_1.txt,524-2,Any[4],you should be able to see a painting easel in the far distance,Describe
Cleaned-EDA_Grid0_7_1_Dirs_1.txt,524-3,"Any[1,1,1,4]",walk forward three times and stop,Move
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-1,"Any[2,4]",turn to face the walls with the immediate tower pictures,TurnToX
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_7_2_Dirs_1.txt,391-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_3_Dirs_1.txt,110-1,Any[4],look at the pictures on all of the immediate walls,Describe
Cleaned-EDA_Grid0_7_3_Dirs_1.txt,110-2,"Any[2,4]",turn so that the pics of towers are to your back,Orient
Cleaned-EDA_Grid0_7_3_Dirs_1.txt,110-3,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_4_Dirs_1.txt,191-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_7_4_Dirs_1.txt,191-2,"Any[1,1,1,1,4]",go to the end,MoveToX
Cleaned-EDA_Grid0_7_4_Dirs_1.txt,191-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_7_4_Dirs_1.txt,191-4,"Any[1,1,4]",go to the end,MoveToX
Cleaned-EDA_Grid0_7_4_Dirs_1.txt,191-5,Any[4],you should end up at the intersection of yellow and green,Describe
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-3,"Any[2,4]",turn so that you are facing the butterflys and the towers are on the walls behind you,Orient
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-5,"Any[3,4]",turn to the left,Turn
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-6,Any[4],you should be looking at the blue hallway,Describe
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-7,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-8,"Any[3,4]",turn left,Turn
Cleaned-EDA_Grid0_7_5_Dirs_1.txt,274-9,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Grid0_7_6_Dirs_1.txt,1551-1,"Any[2,4]",turn to face the long red hallway,TurnToX
Cleaned-EDA_Grid0_7_6_Dirs_1.txt,1551-2,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Grid0_7_6_Dirs_1.txt,1551-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Grid0_7_6_Dirs_1.txt,1551-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_2_Dirs_2.txt,378-1,"Any[2,4]",turn so the wall is on your back,Orient
Cleaned-EDA_Jelly0_1_2_Dirs_2.txt,378-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_2_Dirs_2.txt,378-3,"Any[2,4]",turn right onto the green hallway,TurnToX
Cleaned-EDA_Jelly0_1_2_Dirs_2.txt,378-4,"Any[1,1,1,1,4]",walk to the end maybe four spaces,MoveToX
Cleaned-EDA_Jelly0_1_2_Dirs_2.txt,378-5,"Any[2,1,4]",turn right and walk forward once,CombinationLang
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-1,"Any[2,4]",turn so that the wall is on your left side,Orient
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-10,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-7,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-8,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_3_Dirs_1.txt,737-9,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-1,"Any[2,4]",turn so that the wall is on your left,Orient
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-6,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-7,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_4_Dirs_1.txt,1193-8,"Any[1,1,1,4]",walk forward three times,Move
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-1,"Any[2,4]",turn so that the wall is on your right,Orient
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-5,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_5_Dirs_1.txt,595-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-1,"Any[2,4]",turn so the wall is on your right side,Orient
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-10,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-3,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-4,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-7,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-8,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_6_Dirs_1.txt,19-9,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-1,"Any[2,4]",turn to where the wall is on your left side,Orient
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_1_7_Dirs_1.txt,1295-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-1,"Any[2,4]",turn so that the wall is on your right and back,Orient
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-4,"Any[1,1,1,1,4]",walk forward four times,Move
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-5,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_2_1_Dirs_1.txt,397-6,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-1,"Any[2,4]",turn so the wall is on your left and back,Orient
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-10,Any[4],if you are standing at the intersection of the blue and yellow floors back up once,Describe
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-2,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-3,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-4,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-5,"Any[2,4]",turn right,Turn
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-6,"Any[1,1,4]",walk forward twice,Move
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-7,"Any[3,4]",turn left,Turn
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-8,"Any[1,4]",walk forward once,Move
Cleaned-EDA_Jelly0_2_3_Dirs_1.txt,498-9,"Any[2,1,1,1,1,4]",turn right onto the blue hallway and walk forward four times,AnyCombination
