"fname","actions","text","category"
"Cleaned-KLS_Grid0_4_7_Dirs_1.txt","Any[2,1,1,4]","take the green path to the red brick intersection",""
"Cleaned-KLS_Grid0_4_7_Dirs_1.txt","Any[3,1,4]","go right onto the red brick towards the lamp",""
"Cleaned-KLS_Grid0_4_7_Dirs_1.txt","Any[1,1,1,4]","one intersection past the lamp is 7",""
"Cleaned-KLS_Grid0_6_7_Dirs_1.txt","Any[2,4]","follow the wood path towards red brick path intersection",""
"Cleaned-KLS_Grid0_6_7_Dirs_1.txt","Any[1,3,4]","take a left onto the red brick towards the lamp",""
"Cleaned-KLS_Grid0_6_7_Dirs_1.txt","Any[1,4]","on intersection past the lamp will be 7",""
"Cleaned-KLS_Grid0_6_3_Dirs_1.txt","Any[2,4]","take the wood path towards the chair",""
"Cleaned-KLS_Grid0_6_3_Dirs_1.txt","Any[1,3,4]","at the red brick intersection take a left",""
"Cleaned-KLS_Grid0_6_3_Dirs_1.txt","Any[1,1,2,4]","at the second intersection down take a right",""
"Cleaned-KLS_Grid0_6_3_Dirs_1.txt","Any[1,4]","at the end of this hall you can either only go right or left",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[2,4]","face toward the longer end of the brick hall",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[4]","the chair should be behind",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[4]","there should be butterfly pcitures on the walls to your left and eiffel tower pictures on the walls to your right",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[1,1,1,1,4]","go forward four segments down the brick hallway passing a lamp and an easel to the grassy hallway",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[2,4]","turn right at the hatrack contained in this intersection",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[1,1,4]","go forward two segments to the intersection of the grassy hall and the yellow-tiled hall",""
"Cleaned-EMWC_Grid0_7_4_Dirs_1.txt","Any[4]","this intersection should be empty",""
"Cleaned-WLH_Grid0_3_1_Dirs_1.txt","Any[2,4]","with your back to the sofa",""
"Cleaned-WLH_Grid0_3_1_Dirs_1.txt","Any[1,1,1,4]","move past the stool and chair to the flowered carpet",""
"Cleaned-WLH_Grid0_3_1_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-WLH_Grid0_3_1_Dirs_1.txt","Any[1,4]","walk to the easel",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[2,4]","face the chair at 6",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[1,1,4]","move to it",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[4]","you should see blue carpet",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[1,1,1,1,4]","walk along the blue past a stool and a sofa",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[4]","stop at the hat rack",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-WLH_Grid0_6_5_Dirs_1.txt","Any[1,4]","move straight into the corner",""
"Cleaned-EDA_Grid0_7_3_Dirs_1.txt","Any[4]","look at the pictures on all of the immediate walls",""
"Cleaned-EDA_Grid0_7_3_Dirs_1.txt","Any[2,4]","turn so that the pics of towers are to your back",""
"Cleaned-EDA_Grid0_7_3_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[2,4]","turn so the wall is on your right and back",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_5_7_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-KXP_Grid0_3_1_Dirs_1.txt","Any[2,1,1,1,2,4]","find the pink flowered floored area",""
"Cleaned-KXP_Grid0_3_1_Dirs_1.txt","Any[1,4]","pos 1 is on the aesal",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[2,1,1,4]","follow the hall with the yellow-tiled floor to the hall with pink-flowered carpet on the floor",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[3,4]","turn left into this hall",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[1,1,4]","follow this hall until you reach the hall with a brown stone floor one previous to the blue-tiled hall",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[1,1,1,4]","follow the hall until you reach a concrete hall with butterflies to the side the blue tile is on the right side and nothing in the intersection at that end of the hall",""
"Cleaned-EMWC_Grid0_2_7_Dirs_1.txt","Any[4]","the intersection you are standing in should also be empty",""
"Cleaned-KLS_Grid0_3_7_Dirs_1.txt","Any[2,4]","go straight on the plain cement path",""
"Cleaned-KLS_Grid0_3_7_Dirs_1.txt","Any[1,4]","the very first intersection will be position 7",""
"Cleaned-WLH_Grid0_5_7_Dirs_1.txt","Any[2,1,4]","face the hat rack and move to it",""
"Cleaned-WLH_Grid0_5_7_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-WLH_Grid0_5_7_Dirs_1.txt","Any[1,1,2,4]","move one alley past the chair and turn right",""
"Cleaned-WLH_Grid0_5_7_Dirs_1.txt","Any[1,4]","move one alley",""
"Cleaned-WLH_Grid0_5_7_Dirs_1.txt","Any[4]","to the left and right you should see flowered carpet",""
"Cleaned-TJS_Grid0_7_3_Dirs_1.txt","Any[2,1,4]","take one movement towards the blue corridor",""
"Cleaned-TJS_Grid0_7_3_Dirs_1.txt","Any[4]","and stop",""
"Cleaned-TJS_Grid0_7_3_Dirs_1.txt","Any[4]","that's it",""
"Cleaned-KLS_Grid0_1_3_Dirs_1.txt","Any[2,4]","taek the brick path towards the lamp",""
"Cleaned-KLS_Grid0_1_3_Dirs_1.txt","Any[1,1,1,2,4]","take a right on the plain path two intersections after the lamp",""
"Cleaned-KLS_Grid0_1_3_Dirs_1.txt","Any[1,4]","at the end where you can only go right or left onto a blue path you are at 3",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[2,4]","stand with your back to the wall of the 't' intersection",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[3,4]","turn to the left into the wooden-floored hallway",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[1,4]","one segment down this hall a brick -floored hallway intersects it",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[3,4]","turn left into this hallway",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[1,1,4]","follow this hallway until you reach the bare concrete hall one segment away from the last intersection which contains a chair",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[4]","the walls to you left should have pictures of the eiffel tower",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[4]","those to your right will have butterflies",""
"Cleaned-EMWC_Grid0_6_7_Dirs_1.txt","Any[4]","the intersection to your right will be vacant though blue tile will be visible to each side",""
"Cleaned-TJS_Grid0_7_5_Dirs_1.txt","Any[2,1,4]","take a right down the blue corridor",""
"Cleaned-TJS_Grid0_7_5_Dirs_1.txt","Any[3,4]","then go left",""
"Cleaned-TJS_Grid0_7_5_Dirs_1.txt","Any[1,1,3,1,4]","and then take another left once you see a coatrack in the middle of the hall",""
"Cleaned-EMWC_Grid0_5_6_Dirs_1.txt","Any[2,4]","go toward the hatrack",""
"Cleaned-EMWC_Grid0_5_6_Dirs_1.txt","Any[1,2,4]","turn left at the hatrack into the blue-tiled hall",""
"Cleaned-EMWC_Grid0_5_6_Dirs_1.txt","Any[1,1,1,1,4]","go forward until you reach an intersection with wooden flooring to your right",""
"Cleaned-EMWC_Grid0_5_6_Dirs_1.txt","Any[2,4]","turn right in this hall",""
"Cleaned-EMWC_Grid0_5_6_Dirs_1.txt","Any[1,1,4]","postion 6 will be either one segment before or one segment after the segment with the lamp and will be empty",""
"Cleaned-KLS_Grid0_5_3_Dirs_1.txt","Any[2,4]","go towards the coat rack",""
"Cleaned-KLS_Grid0_5_3_Dirs_1.txt","Any[1,2,4]","at the blue path intersection hang a left",""
"Cleaned-KLS_Grid0_5_3_Dirs_1.txt","Any[1,1,4]","the second intersection down will be position 2",""
"Cleaned-KLS_Grid0_5_3_Dirs_1.txt","Any[4]","at this intersection however you can either only go straight or right onto a plain cement path",""
"Cleaned-EDA_Grid0_7_4_Dirs_1.txt","Any[2,4]","turn to face the long red hallway",""
"Cleaned-EDA_Grid0_7_4_Dirs_1.txt","Any[1,1,1,1,4]","go to the end",""
"Cleaned-EDA_Grid0_7_4_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_7_4_Dirs_1.txt","Any[1,1,4]","go to the end",""
"Cleaned-EDA_Grid0_7_4_Dirs_1.txt","Any[4]","you should end up at the intersection of yellow and green",""
"Cleaned-KXP_Grid0_1_3_Dirs_1.txt","Any[4]","three is at the intersection of the long blue floored buterfly walled and the hallway with no furniture",""
"Cleaned-KXP_Grid0_3_2_Dirs_1.txt","Any[4]","two is on an aesal not in the pink floored area the other one",""
"Cleaned-EMWC_Grid0_1_6_Dirs_1.txt","Any[2,4]","face away from the shorter end of the hall",""
"Cleaned-EMWC_Grid0_1_6_Dirs_1.txt","Any[2,4]","the blue-tiled hallway should be visible to your right",""
"Cleaned-EMWC_Grid0_1_6_Dirs_1.txt","Any[2,1,4]","follow the brown brick floored hallway to the wooden floored hallway",""
"Cleaned-EMWC_Grid0_1_6_Dirs_1.txt","Any[3,4]","turn left toward the yellow hexagonal tiled hallway",""
"Cleaned-EMWC_Grid0_1_6_Dirs_1.txt","Any[1,1,4]","follow the wooden floored hallway to the 't' intersection where the top of the 't' is two sections of wooden floor and the stem of the 't' is a yellow hexagonally tiled section",""
"Cleaned-KXP_Grid0_6_2_Dirs_1.txt","Any[4]","find the aesal in the fish area with black floors near it",""
"Cleaned-KLS_Grid0_1_4_Dirs_1.txt","Any[2,1,4]","take the red brick road away from the lamp to the green path intersection",""
"Cleaned-KLS_Grid0_1_4_Dirs_1.txt","Any[2,1,1,4]","take a right onto the green path all the way to the end of the hall where the green and yellow paths meet in a corner",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[2,4]","orient yourself along the bare concrete hall facing the blue-tiled hallway",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[4]","you should see butterflies on the walls ahead of you",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[4]","there should be a chair in the interection to your left",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[1,4]","go forward one segment to the blue-tiled hall",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[1,1,4]","go forward two segments passing the bench",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[3,4]","turn left at the hatrack into the bare concrete hall",""
"Cleaned-EMWC_Grid0_7_5_Dirs_1.txt","Any[1,4]","go forward one segment",""
"Cleaned-KLS_Grid0_6_1_Dirs_1.txt","Any[2,4]","take the wood path towards the red brick intersection",""
"Cleaned-KLS_Grid0_6_1_Dirs_1.txt","Any[1,3,1,1,4]","once here take a right onto the red brick and follow it until the intersection with red brick and plain cement",""
"Cleaned-TJS_Grid0_5_2_Dirs_1.txt","Any[2,1,4]","go straight",""
"Cleaned-TJS_Grid0_5_2_Dirs_1.txt","Any[2,4]","then right",""
"Cleaned-TJS_Grid0_5_2_Dirs_1.txt","Any[1,1,1,2,1,1,1,4]","then all the way down until you get to where the yellow and grey halls intersect with an easel",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[2,1,4]","go down 1 block",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[2,4]","turn left",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[1,1,4]","keep going looking down each of the streets on the right until you see the street with no furniture do not go down it",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[4]","stay on the butterfly street",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[4]","the t intersection is the position 3",""
"Cleaned-KXP_Grid0_5_3_Dirs_1.txt","Any[4]","you should see blue on the floors perpendicular to the street w/ no furniture",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[2,4]","turn so that you are facing the butterflys and the towers are on the walls behind you",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[3,4]","turn to the left",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[4]","you should be looking at the blue hallway",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EDA_Grid0_7_5_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EMWC_Grid0_1_4_Dirs_1.txt","Any[2,4]","face the shorter portion of the brick hall",""
"Cleaned-EMWC_Grid0_1_4_Dirs_1.txt","Any[4]","there should be a hatrack in the intersection you are facing and a lamp in the intersection behind you",""
"Cleaned-EMWC_Grid0_1_4_Dirs_1.txt","Any[1,4]","go forward one segment to the grassy hall",""
"Cleaned-EMWC_Grid0_1_4_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EMWC_Grid0_1_4_Dirs_1.txt","Any[1,1,4]","go forward two segments to the intersection of the yellow-tiled hall",""
"Cleaned-EMWC_Grid0_4_6_Dirs_1.txt","Any[2,1,4]","go down the grassy hallway one segment to the bare concrete hall",""
"Cleaned-EMWC_Grid0_4_6_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EMWC_Grid0_4_6_Dirs_1.txt","Any[1,1,4]","go forward three segements to the 't' intersection with the stone floor",""
"Cleaned-EDA_Grid0_5_3_Dirs_1.txt","Any[2,4]","turn so that the walls are on your right and back",""
"Cleaned-EDA_Grid0_5_3_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_5_3_Dirs_1.txt","Any[2,1,1,4]","turn right and walk forward twice",""
"Cleaned-TJS_Grid0_7_4_Dirs_1.txt","Any[2,4]","take a left",""
"Cleaned-TJS_Grid0_7_4_Dirs_1.txt","Any[1,2,1,1,1,1,4]","take the blue hall to the grassy hall",""
"Cleaned-TJS_Grid0_7_4_Dirs_1.txt","Any[2,1,1,1,4]","then the grassy hall to the yellow hall until they intersect",""
"Cleaned-KLS_Grid0_4_1_Dirs_1.txt","Any[2,1,4]","take the yellow path to the pink path intersection",""
"Cleaned-KLS_Grid0_4_1_Dirs_1.txt","Any[2,1,1,4]","go right onto the pink path all the way to the black easel",""
"Cleaned-KLS_Grid0_4_1_Dirs_1.txt","Any[4]","at this intersection of pink path and red brick you are at position 1",""
"Cleaned-KLS_Grid0_2_4_Dirs_1.txt","Any[2,1,1,1,4]","take the yellow path all the way to the end of the hall where the corner brings the yellow and green path together",""
"Cleaned-EMWC_Grid0_1_2_Dirs_1.txt","Any[2,4]","go toward the bench at the end of the hall with pink-flowered carpet",""
"Cleaned-EMWC_Grid0_1_2_Dirs_1.txt","Any[1,1,2,4]","turn right at the bench into the yellow tiled hall",""
"Cleaned-EMWC_Grid0_1_2_Dirs_1.txt","Any[1,1,4]","go two segments to the intesection with the stone-floored hallway",""
"Cleaned-EMWC_Grid0_1_2_Dirs_1.txt","Any[4]","this intersection contains an easel",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[2,4]","place your back against the wall of the 't' intersection",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[3,1,1,1,4]","follow the stone hall to your left three segments to the blue-tiled hallway",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[3,4]","turn left at the stool in the blue-tiled hall",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[1,1,1,4]","follow this hall past the bench to the hatrack about four segments",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[3,4]","turn left into the bare concrete floored hall whose intersection with the blue-tiled hall contains the hatrack",""
"Cleaned-EMWC_Grid0_2_5_Dirs_1.txt","Any[1,4]","go forward one segment to the corner",""
"Cleaned-WLH_Grid0_6_7_Dirs_1.txt","Any[2,1,4]","with your back to the wall move forward until the brick alley is to your left and right",""
"Cleaned-WLH_Grid0_6_7_Dirs_1.txt","Any[2,1,4]","turn right and move one alley",""
"Cleaned-WLH_Grid0_2_4_Dirs_1.txt","Any[2,4]","at two place your back to the wall",""
"Cleaned-WLH_Grid0_2_4_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-WLH_Grid0_2_4_Dirs_1.txt","Any[1,4]","walk to the corner",""
"Cleaned-WLH_Grid0_2_4_Dirs_1.txt","Any[3,3,1,2,1,1,1,4]","at your left you should see grass",""
"Cleaned-TJS_Grid0_3_2_Dirs_1.txt","Any[2,1,1,1,1,4]","down blue hall till you hit the grassy hall",""
"Cleaned-TJS_Grid0_3_2_Dirs_1.txt","Any[2,1,1,1,4]","down the grassy hall till you hit the yellow hall",""
"Cleaned-TJS_Grid0_3_2_Dirs_1.txt","Any[2,1,1,1,4]","down the yellow hall until it intersects with the grey hall and has an easel",""
"Cleaned-WLH_Grid0_7_3_Dirs_1.txt","Any[2,4]","at seven face the chair",""
"Cleaned-WLH_Grid0_7_3_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-WLH_Grid0_7_3_Dirs_1.txt","Any[1,4]","move to the blue carpet",""
"Cleaned-WLH_Grid0_7_3_Dirs_1.txt","Any[4]","you should see a sofa to your left and a stool two alleys to your right",""
"Cleaned-WLH_Grid0_6_4_Dirs_1.txt","Any[2,1,1,4]","with your back to the wall move forward to the wall",""
"Cleaned-WLH_Grid0_6_4_Dirs_1.txt","Any[2,4]","turn right and you see grass carpet in front of you and green octagon carpet down the next alley",""
"Cleaned-WLH_Grid0_6_4_Dirs_1.txt","Any[1,4]","move to this spot",""
"Cleaned-KLS_Grid0_4_6_Dirs_1.txt","Any[2,1,1,4]","take the yellow path all the way down to the wood path intersection",""
"Cleaned-KLS_Grid0_4_6_Dirs_1.txt","Any[2,4]","here take a right onto the wood path",""
"Cleaned-KLS_Grid0_4_6_Dirs_1.txt","Any[4]","go to the intersection of plain cement and wood path",""
"Cleaned-TJS_Grid0_1_3_Dirs_1.txt","Any[2,1,1,1,2,1,4]","go down the red hall until you see the blue hall",""
"Cleaned-TJS_Grid0_1_3_Dirs_1.txt","Any[4]","at that intersection stop",""
"Cleaned-KXP_Grid0_4_2_Dirs_1.txt","Any[2,1,1,1,3,3,1,2,1,1,1,3,1,1,4]","position two is at the aesal in the area between two black floors and one green floor",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[2,4]","face the shorter portion of the pink-flowered carpet hall where it interesects the blue-tiled hall",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[4]","your back should be away from the bench at the opposite end where the pink-flowered carpet hall meets the yellow-tiled hall two segments away",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[1,4]","go forward one segment to the blue-tiled hall",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[3,4]","turn left into the blue-tiled hall",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[1,1,1,4]","go forward three segments past the stool to the intersection of the bare concrete hall",""
"Cleaned-EMWC_Grid0_1_3_Dirs_1.txt","Any[4]","there should be a bench and a hatrack ahead of you in the blue-tiled hall and no objects in either of the intersections to your left",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[2,4]","turn to face the walls with the immediate tower pictures",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_7_2_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-KLS_Grid0_1_6_Dirs_1.txt","Any[2,4]","take the pink path towards the wood path",""
"Cleaned-KLS_Grid0_1_6_Dirs_1.txt","Any[1,3,4]","at the wood path intersection take the wood path towards the eiffel towers on the walls",""
"Cleaned-KLS_Grid0_1_6_Dirs_1.txt","Any[1,4]","at the intersection with the plain cement you'll be at 6",""
"Cleaned-KXP_Grid0_7_5_Dirs_1.txt","Any[2,1,3,4]","go down the butterfly walled/blue floored hallway",""
"Cleaned-KXP_Grid0_7_5_Dirs_1.txt","Any[1,1,3,1,4]","make a left at the hatrack",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[2,4]","turn so that the wall is on your right and back",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[1,1,1,4]","walk forward three times",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[2,4]","turn right to face the black hallway",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[1,1,1,4]","walk forward three times",""
"Cleaned-EDA_Grid0_5_2_Dirs_1.txt","Any[4]","if you are in the right place you should be at the intersection of black and yellow",""
"Cleaned-TJS_Grid0_1_6_Dirs_1.txt","Any[2,1,3,1,4]","it's at the corner of the yellow floor and the grass floor",""
"Cleaned-WLH_Grid0_5_4_Dirs_1.txt","Any[2,1,2,4]","move to the hat rack and turn right",""
"Cleaned-WLH_Grid0_5_4_Dirs_1.txt","Any[1,1,1,1,1,1,4]","walk down to the end of the blue carpet",""
"Cleaned-WLH_Grid0_5_4_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-WLH_Grid0_5_4_Dirs_1.txt","Any[1,1,1,4]","walk along the grass carpet to the wall",""
"Cleaned-WLH_Grid0_5_4_Dirs_1.txt","Any[4]","to your right should be green octagon flooring",""
"Cleaned-TJS_Grid0_7_2_Dirs_1.txt","Any[2,1,1,1,1,3,3,1,1,1,2,1,3,3,1,1,1,4]","it's at the intersection of the yellow and grey halls with an easel",""
"Cleaned-TJS_Grid0_5_7_Dirs_1.txt","Any[2,1,4]","one space forward",""
"Cleaned-TJS_Grid0_5_7_Dirs_1.txt","Any[2,4]","a left at the blue hall",""
"Cleaned-TJS_Grid0_5_7_Dirs_1.txt","Any[1,1,4]","then two spaces forward",""
"Cleaned-TJS_Grid0_5_7_Dirs_1.txt","Any[2,1,4]","and a right when you see the red hall",""
"Cleaned-TJS_Grid0_5_7_Dirs_1.txt","Any[4]","then stop",""
"Cleaned-TJS_Grid0_4_1_Dirs_1.txt","Any[2,4]","go straight",""
"Cleaned-TJS_Grid0_4_1_Dirs_1.txt","Any[1,2,4]","turn right at the rose hallway",""
"Cleaned-TJS_Grid0_4_1_Dirs_1.txt","Any[1,1,4]","keep going until it intersects with the red hallway and has an easel",""
"Cleaned-EMWC_Grid0_5_3_Dirs_1.txt","Any[2,4]","face the intersection containing the hatrack",""
"Cleaned-EMWC_Grid0_5_3_Dirs_1.txt","Any[1,4]","go forward one segment to the blue-tiled hall",""
"Cleaned-EMWC_Grid0_5_3_Dirs_1.txt","Any[2,1,1,4]","turn right at the hatrack go forward two segments passing the bench to the empty intersection",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[2,4]","turn so that the wall is on your left",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[4]","you should be at the intersection of blue and brown",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[2,4]","turn right",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EDA_Grid0_3_6_Dirs_1.txt","Any[4]","if there is a solid wall on your right then you are at position 6",""
"Cleaned-EDA_Grid0_6_7_Dirs_1.txt","Any[2,4]","turn so the wall is on your left",""
"Cleaned-EDA_Grid0_6_7_Dirs_1.txt","Any[1,4]","walk forward once",""
"Cleaned-EDA_Grid0_6_7_Dirs_1.txt","Any[3,4]","turn left",""
"Cleaned-EDA_Grid0_6_7_Dirs_1.txt","Any[1,1,4]","walk forward twice",""
"Cleaned-EMWC_Grid0_2_1_Dirs_1.txt","Any[2,1,1,4]","go down the hall with yellow stone floors until you come to a hall to your left with pink-flowered carpet",""
"Cleaned-EMWC_Grid0_2_1_Dirs_1.txt","Any[3,4]","turn left into this hall",""
"Cleaned-EMWC_Grid0_2_1_Dirs_1.txt","Any[1,1,4]","position one is the intersection containing an easel",""
"Cleaned-WLH_Grid0_6_1_Dirs_1.txt","Any[2,4]","at six place your back to the wall",""
"Cleaned-WLH_Grid0_6_1_Dirs_1.txt","Any[4]","the next side alley should be flowered carpet",""
