"word","tag"
"grass","NN"
"furnitute","NN"
"this","DT"
"out","IN"
"t","JJ"
"far","RB"
"same","JJ"
"series","NN"
"go","VB"
"through","IN"
"coatrack","NN"
"segmentsm","NN"
"next","JJ"
"finally","RB"
"conatins","VBZ"
"all","PDT"
"carpeted","VBD"
"stone","NN"
"taek","IN"
"junction","NN"
"fave","NN"
"behind","IN"
"thre","RB"
"cement","NN"
"hallway","NN"
"together","RB"
"stone-floored","JJ"
"around","RP"
"between","IN"
"past","IN"
"just","RB"
"walled/blue","NN"
"come","VBP"
"flowers","NNS"
"am","VBP"
"2","CD"
"pink","NN"
"towards","IN"
"twice","NN"
"was","VBD"
"once","RB"
"yourself","PRP"
"more","JJR"
"shorter","JJR"
"stem","NN"
"interseciton","NN"
"quite","RB"
"will","MD"
"octagons","NNS"
"turns","NNS"
"untill","IN"
"pst","VBZ"
"head","NN"
"right","NN"
"doesn't","NN"
"monarch","JJ"
"walkway","NN"
"three","CD"
"wil","VBP"
"hangings","NNS"
"face","VB"
"lampl","NN"
"aesal","NN"
"ahllway","NN"
"inersection","NN"
"as","IN"
"to","TO"
"ot","IN"
"wood-floored","JJ"
"tke","VB"
"meets","NNS"
"ways","NNS"
"view","VB"
"floors","NNS"
"halllway","NN"
"long","JJ"
"branching","VBG"
"5","CD"
"away","RB"
"in","IN"
"way","NN"
"blue-tiled","JJ"
"last","JJ"
"almost","RB"
"tot","JJ"
"stop","NN"
"segments","NNS"
"dark","JJ"
"left;","FW"
"form","VBD"
"brick","NN"
"wawya","NN"
"leads","VBZ"
"grassy","NN"
"hang","VBD"
"sides","NNS"
"then","RB"
"octagon","NN"
"see","VBP"
"th","NN"
"though","IN"
"any","DT"
"6","CD"
"green","JJ"
"hatrack","NN"
"brings","VBZ"
"think","VBP"
"forward","RB"
"placed","VBN"
"most","RBS"
"six","CD"
"appears","VBZ"
"middle","NN"
"off","IN"
"winding","VBG"
"7","CD"
"spce","NN"
"spaces","NNS"
"street","NN"
"some","DT"
"should","MD"
"before","IN"
"hexagonal","JJ"
"faces","VBZ"
"areas","NNS"
"followed","VBN"
"flowerd","JJ"
"no","DT"
"which","WDT"
"4","CD"
"towers","NNS"
"antoher","RB"
"take","VB"
"may","MD"
"segements","NNS"
"oine","NN"
"teh","NNS"
"ended","VBN"
"longetr","JJ"
"position","NN"
"their","PRP$"
"meet","VB"
"images","NNS"
"90%","CD"
"tiled","VBD"
"fishy","JJ"
"segment","NN"
"blue","NN"
"postion","NN"
"rose","VBD"
"having","VBG"
"from","IN"
"hal","NN"
"p","NN"
"tile","NN"
"moving","VBG"
"foored","VBD"
"following","JJ"
"course","NN"
"seven","CD"
"coat","NN"
"intersected","VBN"
"turn","NN"
"intersecting","NN"
"fwd","NN"
"painting","JJ"
"believe","VBP"
"possibly","RB"
"hit","VBP"
"lamp","NN"
"fail","VBP"
"crossing","NN"
"efficient","JJ"
"floored","VBD"
"down","IN"
"directions","NNS"
"of","IN"
"rock","NN"
"turning","VBG"
"unitl","NN"
"pink-carpeted","JJ"
"butterflies","NNS"
"not-butterflies","NNS"
"flowered","VBN"
"going","VBG"
"sure","NN"
"is","VBZ"
"back","NN"
"doen","NN"
"both","DT"
"p-6","NN"
"postition","NN"
"another","DT"
"bar","NN"
"beyond","IN"
"follow","VB"
"here","RB"
"however","RB"
"five","CD"
"'t'","CD"
"intesection","NN"
"has","VBZ"
"intersections","NNS"
"route","NN"
"direction","NN"
"it's","NN"
"movements","NNS"
"exit","NN"
"w/","NN"
"sort","NN"
"on","IN"
"paths","NNS"
"portion","NN"
"than","IN"
"pole","NN"
"directly","RB"
"able","JJ"
"times","NNS"
"each","DT"
"grey","NN"
"front","NN"
"furniture","NN"
"intersectino","NN"
"laft","NN"
"you'll","RB"
"wooden","JJ"
"spot","NN"
"when","WRB"
"tinto","NN"
"continue","VB"
"blank","NN"
"wood","NN"
"i","NN"
"flor","NN"
"that's","NN"
"pieces","NNS"
"lampshade","NN"
"bare","NN"
"fourth","JJ"
"couple","NN"
"hall","NN"
"opens","VBZ"
"can","MD"
"within","IN"
"place","NN"
"white","JJ"
"leading","VBG"
"wooden-tiled","JJ"
"honeycomb","NN"
"dthat","WP"
"tunr","NN"
"block","NN"
"pos","NN"
"look","NN"
"ahead","RB"
"wlak","JJ"
"second","JJ"
"branches","VBZ"
"floord","JJ"
"maybe","RB"
"object","NN"
"bvlue","NN"
"rech","VBP"
"too","RB"
"brown","JJ"
"few","JJ"
"wall","NN"
"into","IN"
"streets","NNS"
"chairs","NNS"
"corridor","NN"
"longer","JJR"
